,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
100,Roti Aur Boti Xpress,"North Indian, Fast Food, Arabian, South Indian",--,39,400,Hyderabad
101,SEEMA VINDHU,"South Indian, Snacks, Biryani",3.7,32,200,Hyderabad
102,Hatti Kaapi - Coffee and more,"South Indian, Beverages, Snacks",--,37,200,Hyderabad
103,Meal In A Bowl,South Indian,--,41,450,Hyderabad
104,Dosa Weds Chutney,South Indian,--,41,250,Hyderabad
105,JUST BOWLS,"North Indian, Chinese, Continental, South Indian, Indian",3.9,31,200,Hyderabad
106,Green Leaf Tiffins,South Indian,--,37,120,Hyderabad
107,SUBHAPRADHA TIFFINS,South Indian,3.8,35,100,Hyderabad
108,VIJAYS KITCHEN,South Indian,4.1,33,150,Hyderabad
109,Film Nagar Express,South Indian,--,32,250,Hyderabad
110,Vistharaaku foods,South Indian,3.5,37,250,Hyderabad
111,B & B Tiffins & Irani Chai,"Beverages, South Indian",3.5,31,200,Hyderabad
112,Dosa lounge,"South Indian, Chinese, Beverages, Biryani",--,37,300,Hyderabad
113,B&B TIFFINS & IRANI CHAI @ FEC,South Indian,--,27,200,Hyderabad
114,THE GUNTUR IDLI,"South Indian, Beverages",3.7,39,100,Hyderabad
115,Alankar,South Indian,--,28,200,Hyderabad
116,Vaisra'S Kitchen,"South Indian, Seafood, Chinese",--,36,700,Hyderabad
117,Grand South Kitchen,"South Indian, North Indian, Biryani",--,41,300,Hyderabad
118,B BANDI - DAILY FOOD,South Indian,4.3,32,180,Hyderabad
119, The PeerlessInn Hotel - Pavilion Restaurant,"North Indian, Continental, South Indian, Chinese",--,35,800,Hyderabad
120,Bindaas Bowls,"South Indian, Chinese",--,44,200,Hyderabad
121,Elite food court,South Indian,--,39,10,Hyderabad
122,Dosa's Aur Idli's,"South Indian, Snacks",--,28,200,Hyderabad
123,Mahaveer Tiffins,South Indian,--,32,200,Hyderabad
