,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
90,Madhurima Veg,"Indian, South Indian, Chinese, Snacks",4.2,44,250,Lucknow
91,Neelkanth Sweets,"Sweets, Snacks, North Indian, Chinese, South Indian, Chaat",4.3,39,300,Lucknow
92,Shubh Kitchen,"Burgers, Indian, South Indian",--,54,200,Lucknow
93,Neelkanth Green,"South Indian, North Indian, Chinese, Tandoor",3.9,47,300,Lucknow
94,Shri Balaji Ka Dhaba,"North Indian, Chinese, South Indian",3.6,54,150,Lucknow
95,Sandy's Tiny & Tasty,"North Indian, Chinese, South Indian",4.2,45,150,Lucknow
96,Silver Spoon,"Indian, South Indian, Chinese, Biryani, Tandoor",3.9,54,200,Lucknow
97,Engineer Baati Wala,"South Indian, Indian",--,56,250,Lucknow
98,Laddu Da Dhaba,"Indian, Chinese, South Indian",4.0,44,200,Lucknow
99,The Lost Heaven,"North Indian, Chinese, South Indian",--,54,300,Lucknow
100,Blossom Breeze,"Beverages, Ice Cream, Chinese, South Indian, Desserts, Thalis",4.3,49,794,Lucknow
101,Smiley's Food Court,"Chinese, South Indian, North Indian, Fast Food, Snacks",--,60,250,Lucknow
102,CHINESE POINT,"Chinese, South Indian, Punjabi, Indian, North Indian",3.5,54,150,Lucknow
103,Parivar veg restaurant,"Indian, North Indian, Biryani, Thalis, Chaat, South Indian, Sweets, Desserts",3.6,52,150,Lucknow
104,ZAMZAM RESTAURANT,"North Indian, Indian, Biryani, Chinese, Thalis, South Indian",3.3,58,150,Lucknow
105,V Kitchen,"Indian, South Indian, Combo, Fast Food",3.9,46,120,Lucknow
106,Aachman,"North Indian, Chinese, Fast Food, South Indian",4.0,49,200,Lucknow
107,yellow chilli veg point,"Indian, North Indian, Snacks, Biryani, Chaat, Chinese, South Indian, Beverages, ...",4.2,59,150,Lucknow
108,Celebration Family Restaurant,"North Indian, Indian, South Indian",--,57,300,Lucknow
109,New Bombay Pav Bhaji,"Street Food, North Indian, Chinese, South Indian",--,45,300,Lucknow
110,Exchange Restaurant,"North Indian, South Indian",--,54,250,Lucknow
111,Fusion Flavour Restaurant,"Mughlai, Chinese, North Indian, Continental, South Indian, Tandoor",3.9,57,250,Lucknow
112,TIRUPATI SOUTH INDIAN RESTRO,"South Indian, Chinese",3.8,59,250,Lucknow
113,Sagar Ratna,"South Indian, North Indian, Chinese",3.6,53,300,Lucknow
114,MERIDIAN FOODS,"South Indian, Desserts",--,59,400,Lucknow
115,Bikkgane Biryani,"Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs",4.1,52,350,Lucknow
116,Dosa House,South Indian,3.8,52,200,Lucknow
117,Dosa Hot,"South Indian, Snacks",3.9,47,150,Lucknow
118,ANNA DOSA POINT,"South Indian, Indian, Fast Food, Beverages",2.8,57,100,Lucknow
119,Maa Kripa,"North Indian, Chinese, Fast Food, Punjabi, South Indian, Snacks, Biryani",--,65,200,Lucknow
120,Street Mazza Momo,"Chinese, South Indian, Indian",4.3,61,200,Lucknow
121,Radheys Sweets & Restaurant,"South Indian, Chinese, North Indian",3.7,61,300,Lucknow
122,Assemble Cafe,"Chinese, North Indian, Continental, South Indian, Thalis, Biryani, Beverages",4.0,57,350,Lucknow
123,The Tarrace,"Indian, Chinese, Italian, Fast Food, Desserts, Beverages, South Indian, Mexican,...",3.1,60,500,Lucknow
124,Wow Shake,"Chinese, Mughlai, North Indian, South Indian",--,58,400,Lucknow
125,Aryana Family Cuisine- Hygiene & Safe,"Chinese, Indian, Mughlai, South Indian",2.6,56,250,Lucknow
126,Bawarchi,"North Indian, Snacks, Chinese, Biryani, South Indian, Beverages",2.9,52,200,Lucknow
127,Kalika Dhabha,"North Indian, Chinese, Snacks, Biryani, South Indian, Beverages",2.2,55,400,Lucknow
